Unnamed: 0,Date,User,Tweet
55992,2019-02-05 04:57:49+00:00,vj_varunjha,"If you are a professional road trip advisor for @Kolkata region, be very scared. Your new competitor is in town.
Go @myogiadityanath ji. #WestBengal #YogiAdityanath #bjp #Rally #roadtrip"
84706,2019-04-23 04:25:20+00:00,ShaanRao6,#LokSabhaElections2019 Odisha Chief Minister  #NaveenPatnaik casts his vote at a polling booth in Bhubaneswar
127,2019-05-18 15:33:08+00:00,iiirdi,"@republic 
Forecast No Precast No 
#opposition wants #Modi out
#RahulGandhi wants #Modi out
#MamataBanerjee wants #Modi out
So I decided to be out too 

Of hom when #PhirEkBaarModiSarkaar is up I'm back"
58768,2019-01-27 08:55:43+00:00,hinasaxena16,"Prime Minister Mr.Narendra Modi took a long walk on the Rajpath to greet the spectators after the Republic Day Parade... 🇮🇳🇮🇳
(This gesture can be seen in True n Patriot leader..... Definitely BJP is lucky to have Gentlemen like Modi ji in it) #NarendraModi"
128024,2019-03-04 14:27:50+00:00,SisirSircar,"@FinancialXpress Try to estimate the हड़कमप मचा in congress and Pakistan, count no. Of killed, you people have no courage to take this type of retaliation though you got so many instances but could not, it needs courage not a counting expert. #NarendraModi"
15359,2019-04-21 17:57:31+00:00,Prateek_Odisha,@kanak_news #Bjp ra gundagardi @AprajitaSarangi madam is this your bloody politics?
101252,2019-04-08 09:12:32+00:00,prathod2008,"PM @narendramodi: By 2022 When India Celebrates 75 Years Of It Independence, Will Fulfil 75 Dreams Of India

Will Create A Separate 'Jal-Shakti' Department, Fisheries

#BjpManifesto2019
#BJPSankalpPatr2019
#LokSabhaElections2019"
28132,2019-04-03 12:06:51+00:00,aditya_836,"#Congress plan to remove poverty by giving money to poor

#BjP &amp; #Modi plan to remove causes of poverty i.e.treatment of illness, diseases,provoding sanitation, immunization, healthy nutrition for child,social security schemes &amp; home etc

 #DeshKeLiyeModi"
32874,2019-03-27 10:22:24+00:00,Arpit_151,"Congratulations @PatelParbatbhai sir, selection For BJP candidate by Lok Sabha Elaction #patelparbatbhai #BJP"
42854,2019-03-12 14:28:58+00:00,kalaiarasu434,@thatsTamil Your alliance are very good #BJP plus #ADMK #BJPallaianceFaills
68758,2019-05-14 03:00:54+00:00,kiran_stories,"@JagdishMarath16 @nirmala80581875 @Mohansinha @PandaJay @narendramodi It’s not only about technology but also about trying to steal experts’ credit for #votes! 
#LokSabhaElections2019"
